"","geo_value","time_value","visits","admits","chngVisits","covidChngVisits","gsymptoms","cases"
"221","06111",2020-07-27,4.459119,4.654748,6.407618,0.283719,0.278571428571429,438
"224","06001",2020-07-26,5.648977,1.579173,9.228625,1.042678,0.295714285714286,40
"229","06013",2020-07-26,4.710493,5.688741,9.486876,0.869226,0.377142857142857,163
"231","06019",2020-07-26,8.437078,5.884989,10.595623,1.005673,0.678571428571429,0
"234","06029",2020-07-26,6.45963,10.426537,9.008694,1.529149,0.822857142857143,369
"236","06037",2020-07-26,9.173711,6.599089,7.610592,0.627235,0.387142857142857,1670
"244","06059",2020-07-26,8.066666,7.143885,5.612437,0.757941,0.36,420
"246","06065",2020-07-26,5.086234,10.03937,5.205863,0.663244,0.547142857142857,0
"247","06067",2020-07-26,3.453269,6.114206,3.877306,0.460939,0.508571428571429,267
"249","06071",2020-07-26,3.069252,6.825557,5.035348,0.845618,0.545714285714286,437
"250","06073",2020-07-26,4.602765,3.829249,2.55692,0.371363,0.36,283
"251","06075",2020-07-26,7.713818,3.359981,17.849376,0.277846,0.238571428571429,145
"252","06077",2020-07-26,8.126497,4.860826,7.667631,1.22134,0.368571428571429,0
"254","06081",2020-07-26,5.314228,0.965917,3.876789,0.779262,0.241428571428571,0
"256","06085",2020-07-26,5.337128,1.250173,5.667361,0.540055,0.301428571428571,208
"264","06111",2020-07-26,4.192164,4.353217,6.31186,0.296452,0.301428571428571,0
"267","06001",2020-07-25,5.896551,1.688461,9.647005,0.999439,0.337142857142857,116
"272","06013",2020-07-25,4.73043,5.653753,9.812068,0.813612,0.408571428571429,143
"274","06019",2020-07-25,8.256719,5.640713,10.917669,0.999396,0.707142857142857,416
"277","06029",2020-07-25,5.981439,10.676777,9.20033,1.567275,0.841428571428571,832
"280","06037",2020-07-25,7.567127,6.91662,7.935345,0.658049,0.405714285714286,3568
"288","06059",2020-07-25,5.657323,7.526617,5.672936,0.778588,0.392857142857143,595
"290","06065",2020-07-25,3.382664,9.724681,5.565368,0.690599,0.581428571428572,0
"291","06067",2020-07-25,3.305304,5.684097,3.983689,0.441182,0.538571428571429,82
"293","06071",2020-07-25,2.911254,7.291963,5.296208,0.872081,0.564285714285714,759
"294","06073",2020-07-25,4.266117,4.054698,2.638638,0.385128,0.375714285714286,603
"295","06075",2020-07-25,7.214058,3.665047,16.902221,0.288039,0.241428571428571,108
"298","06081",2020-07-25,5.504173,0.561643,3.926273,0.832826,0.28,65
"300","06085",2020-07-25,4.430027,1.288082,5.698356,0.568027,0.321428571428571,114
"308","06111",2020-07-25,4.245787,4.107317,6.1223,0.311673,0.307142857142857,0
"312","06001",2020-07-24,6.415551,1.868989,10.030672,0.899522,0.337142857142857,345
"317","06013",2020-07-24,5.086912,5.439644,10.12877,0.789818,0.414285714285714,202
